Listing Date,Original Price,Address,Address 2,State,City,Zip,MLS #,Bedrooms,Full Baths,Sold Price,Closing Date,Total Heated Sq Ft,Selling Agent - Agent Name,Selling Office - Office Name,Status Date,Listing Agent - Agent Name,Listing Office - Office Name,Input Date,Number of Acres,Photo,Last Photo Update Date
1/1/2025,"$179,999",3811 Wayside Rd.,,SC,Conway,29527,2428864,3,2,"$179,999",2/13/2025,1120,Brendon Payne Expert Advisors Team,Century 21 The Harrelson Group,2/14/2025,Joe M Scaturro,Keller Williams The Forturro Group,1/1/2025 11:36 AM,0.28,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2428864/0/120/90/02adaa130dd81789748bc305df41637f/5/eb0bff025a4d40272dc33731f9a5ee82/2428864-0629BCF4-1E2B-4DC7-8C2A-8A2525747DCD.JPG,
10/10/2024,"$189,999",3805 Wayside Rd.,,SC,Conway,29527,2423471,3,2,"$184,999",2/14/2025,1120,Joe M Scaturro,Keller Williams The Forturro Group,2/18/2025,Joe M Scaturro,Keller Williams The Forturro Group,10/10/2024 9:44 AM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2423471/0/120/90/22c912671ff8c0d1244a4440c3033d2b/5/27d8e7af0c404f98cf490a89e0bf3af5/2423471-803591FA-A06D-4EDB-8A9E-3CBA9872FA52.JPG,
9/17/2024,"$209,999",2725 Orion Dr.,,SC,Myrtle Beach,29577,2421588,3,2,"$185,000",12/20/2024,1500,George P Akulonis,Coastal Beach Home RE LLC,12/20/2024,Joe M Scaturro,Keller Williams The Forturro Group,9/17/2024 5:25 AM,0.11,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2421588/0/120/90/f9c8512cd077cb48f2bb13fb128dc703/5/3b8dcde4fd952f20e348809bac433f9e/2421588-a4594ae3-15f3-4041-80ac-46ff4cab9ed1.JPG,
1/18/2025,"$185,000",487 N Green Sea Rd.,,SC,Loris,29569,2501466,3,2,"$185,000",4/22/2025,1056,Kathy Ferraro,Latitude 34 Realty,4/22/2025,Joe M Scaturro,Keller Williams The Forturro Group,1/18/2025 3:36 PM,0.50,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2501466/0/120/90/60256eb3f746847c8ba48db661cc8889/5/c5d3b400e70813c5f2b102a1514d2671/2501466-c68d31c0-4bfa-401a-b76d-6e768af00276.JPG,
4/1/2025,"$199,999",2711 W Highway 9 Bypass,,SC,Loris,29569,2508137,3,2,"$190,000",6/27/2025,1456,Jessica C Williams,CB Sea Coast Advantage CF,6/30/2025,Joe M Scaturro,Keller Williams The Forturro Group,4/1/2025 3:28 PM,0.92,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2508137/0/120/90/ad34bf20d21137e454e1609dc24fcc8e/5/949fb623d36e4bf6c6156c502ee584f8/2508137-2fb4ef72-db7e-4453-a769-5ba0ea9410a3.JPG,
12/31/2025,"$199,999",2008 Pint Circle,,SC,Longs,29568,2530174,3,2,"$190,000",3/23/2026,1216,Secure Home Finder Team,Realty ONE Group Dockside,3/25/2026,Joe M Scaturro,Keller Williams The Forturro Group,12/31/2025 8:22 AM,0.24,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2530174/0/120/90/a39a40e432a50e945603c35b42ca8b62/0/60e61367e97fd38711ba0fb647141654/2530174-00576802-68a8-461c-9c9e-df2d81de6b76.JPG,
8/25/2024,"$194,999",117 Melanie Brooke Ln.,,SC,Conway,29527,2419757,3,2,"$190,000",12/4/2024,1120,Chris Koppel Team,INNOVATE Real Estate,12/6/2024,Joe M Scaturro,Keller Williams The Forturro Group,8/25/2024 11:24 AM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2419757/0/120/90/daf33cc99dd1ea5535f631da8d9a32b7/5/82be201654878029bd948aa85fbdca98/2419757-A8627203-B2BF-40F8-AE92-DC5C7B2772DD.JPG,
8/9/2024,"$194,999",129 Melanie Brooke Ln.,,SC,Conway,29527,2418564,3,2,"$192,499",9/24/2024,1120,Courtney S Moore,RE/MAX Southern Shores-Conway,9/25/2024,Joe M Scaturro,Keller Williams The Forturro Group,8/9/2024 5:11 PM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2418564/0/120/90/3e67785c2b6451874cd5ca33f34ac0b0/5/06085333a6ac8980b973739ed79d2684/2418564-33723b13-4b12-4f38-9654-01688d74fa5b.JPG,
3/5/2025,"$219,999",3816 Wayside Rd.,,SC,Conway,29527,2505519,3,2,"$198,000",6/24/2025,1568,Dawn Safer,BHHS Myrtle Beach Real Estate,6/25/2025,Joe M Scaturro,Keller Williams The Forturro Group,3/5/2025 3:06 PM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2505519/0/120/90/68be744334c836607b47b81bc18db5a2/5/40fa9f330241a12b5db2b1ef45dcca6a/2505519-d06e0be1-d6fd-4b8d-9cde-36c2f44b061f.JPG,
5/19/2025,"$199,999",491 N Green Sea Rd.,,SC,Loris,29569,2512540,3,2,"$199,000",7/9/2025,1344,Natalie Cruse,Keller Williams Oak and Ocean,7/10/2025,Joe M Scaturro,Keller Williams The Forturro Group,5/19/2025 12:20 PM,0.78,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2512540/0/120/90/31dcb5a7ecebd11b8783f949da67a5d9/5/1034230a912e20a3bb68cde9a96332c8/2512540-007220dd-27d6-414a-a827-75b194a158c7.JPG,
